"subject"	"species"	"strain_num_OP"	"strain_num_BA"	"strain_overlap_num"	"OP>BA"	"OP<BA"	"reads_BALF"	"reads_OP"	"reads_BALF_un"	"reads_OP_un"
"199"	"LG24"	"Rothia.mucilaginosa"	1	1	1	0	0	14939	1157071	14632	1129690
"200"	"LG24"	"Schaalia.odontolytica"	1	0	0	1	0	38398	6400143	35045	5866230
"202"	"LG24"	"Veillonella.atypica"	2	2	2	0	0	64541	7399604	49047	5748076
"203"	"LG24"	"Veillonella.dispar"	2	2	2	0	0	36176	1714648	21071	1032965
"204"	"LG24"	"Veillonella.parvula"	3	2	2	1	0	110620	876029	75622	605279
"207"	"LG25"	"Haemophilus.parainfluenzae"	1	2	1	0	1	11006	67573	9509	58945
"209"	"LG25"	"Prevotella.melaninogenica"	2	1	1	1	0	13403	50635	8409	35595
"211"	"LG25"	"Rothia.mucilaginosa"	2	1	1	1	0	3047911	31422012	3013536	31097000
"212"	"LG25"	"Schaalia.odontolytica"	2	2	2	0	0	546369	1872157	515456	1775149
"213"	"LG25"	"Streptococcus.oralis"	2	2	2	0	0	4285073	2973592	809336	540640
"214"	"LG25"	"Veillonella.atypica"	2	2	2	0	0	10186	206111	8830	182284
"215"	"LG25"	"Veillonella.dispar"	0	1	0	0	1	0	6850	263	5365
"216"	"LG25"	"Veillonella.parvula"	5	5	5	0	0	17658	520984	13686	432368
"219"	"LG27"	"Haemophilus.parainfluenzae"	1	1	1	0	0	3612	1098671	2898	921339
"221"	"LG27"	"Prevotella.melaninogenica"	2	0	0	1	0	217	988340	214	912090
"223"	"LG27"	"Rothia.mucilaginosa"	2	0	0	1	0	396	983823	390	972809
"226"	"LG27"	"Veillonella.atypica"	2	0	0	1	0	4231	16981221	3244	14084522
"227"	"LG27"	"Veillonella.dispar"	2	0	0	1	0	563	989621	342	678734
"228"	"LG27"	"Veillonella.parvula"	1	0	0	1	0	627	367392	405	272763
"232"	"LG16"	"Mycoplasma.pneumoniae"	0	1	0	0	1	28607	0	28439	0
"233"	"LG16"	"Prevotella.melaninogenica"	4	0	0	1	0	24	7915190	31	5663413
"235"	"LG16"	"Rothia.mucilaginosa"	2	0	0	1	0	72	8890992	70	8779883
"236"	"LG16"	"Schaalia.odontolytica"	1	0	0	1	0	292	9929318	268	9613381
"238"	"LG16"	"Veillonella.atypica"	2	0	0	1	0	56	2431529	32	1470295
"239"	"LG16"	"Veillonella.dispar"	2	0	0	1	0	404	6261289	150	2526655
"240"	"LG16"	"Veillonella.parvula"	2	0	0	1	0	232	1755057	97	863466
"244"	"LG17"	"Mycoplasma.pneumoniae"	1	1	1	0	0	637159	524	633448	899
"245"	"LG17"	"Prevotella.melaninogenica"	3	1	1	1	0	192227	1494963	172213	1397139
"246"	"LG17"	"Prevotella.nigrescens"	1	0	0	1	0	59984	1845789	26703	1045662
"247"	"LG17"	"Rothia.mucilaginosa"	1	1	1	0	0	7181	172809	6514	162651
"248"	"LG17"	"Schaalia.odontolytica"	1	0	0	1	0	154905	2831163	136396	2554053
"249"	"LG17"	"Streptococcus.oralis"	2	2	2	0	0	96790	143985	19034	28526
"250"	"LG17"	"Veillonella.atypica"	2	2	2	0	0	361138	8359249	306801	6997694
"251"	"LG17"	"Veillonella.dispar"	2	1	1	1	0	9257	307181	6446	211301
"252"	"LG17"	"Veillonella.parvula"	2	2	2	0	0	35437	222646	27508	168727
"256"	"LG26"	"Mycoplasma.pneumoniae"	1	2	1	0	1	13100896	1608	13015377	1763
"257"	"LG26"	"Prevotella.melaninogenica"	2	0	0	1	0	301	4891878	369	3675122
"262"	"LG26"	"Veillonella.atypica"	2	2	2	0	0	3736	5141210	3230	3457780
"263"	"LG26"	"Veillonella.dispar"	2	0	0	1	0	50	946303	57	409616
"264"	"LG26"	"Veillonella.parvula"	1	0	0	1	0	86	456935	73	242478
"269"	"HZ23"	"Prevotella.melaninogenica"	2	1	0	1	0	95985	124293	68495	88216
"272"	"HZ23"	"Schaalia.odontolytica"	2	2	2	0	0	2851901	4806751	2755296	4616130
"273"	"HZ23"	"Streptococcus.oralis"	1	1	1	0	0	5965918	25033170	1365206	5423172
"276"	"HZ23"	"Veillonella.parvula"	5	5	5	0	0	1058275	1947324	898547	1599261
"281"	"HZ30"	"Prevotella.melaninogenica"	3	2	2	1	0	230899	22874684	176031	16552218
"283"	"HZ30"	"Rothia.mucilaginosa"	2	2	2	0	0	1168486	10532436	1157975	10417921
"284"	"HZ30"	"Schaalia.odontolytica"	1	0	0	1	0	94196	361965	83356	313140
"286"	"HZ30"	"Veillonella.atypica"	2	2	2	0	0	33545	1329923	24539	846130
"287"	"HZ30"	"Veillonella.dispar"	2	2	2	0	0	147739	10805415	78076	4681933
"288"	"HZ30"	"Veillonella.parvula"	5	3	3	1	0	215151	3612074	137334	1935745
"293"	"LG13"	"Prevotella.melaninogenica"	3	2	2	1	0	152217	962295	144320	931681
"295"	"LG13"	"Rothia.mucilaginosa"	2	1	1	1	0	3140106	26599837	3103706	26248886
"296"	"LG13"	"Schaalia.odontolytica"	2	2	2	0	0	925040	5354438	866798	4991494
"297"	"LG13"	"Streptococcus.oralis"	1	1	1	0	0	96111	448302	18220	89609
"298"	"LG13"	"Veillonella.atypica"	0	2	0	0	1	276269	1383980	156139	771036
"299"	"LG13"	"Veillonella.dispar"	0	2	0	0	1	543768	4108235	193718	1467418
"300"	"LG13"	"Veillonella.parvula"	2	2	2	0	0	461658	1977985	209852	895641
"303"	"HZ20"	"Haemophilus.parainfluenzae"	2	0	0	1	0	164	49145	154	41855
"305"	"HZ20"	"Prevotella.melaninogenica"	1	0	0	1	0	635	304340	469	281499
"307"	"HZ20"	"Rothia.mucilaginosa"	2	1	1	1	0	178585	8617476	175370	8444189
"308"	"HZ20"	"Schaalia.odontolytica"	2	2	2	0	0	47122	5322741	45682	5094303
"309"	"HZ20"	"Streptococcus.oralis"	3	1	1	1	0	533650	3212008	86010	509163
"312"	"HZ20"	"Veillonella.parvula"	5	0	0	1	0	2917	1275083	2062	788776
"318"	"HZ22"	"Prevotella.nigrescens"	1	0	0	1	0	1460	78023	644	26039
"319"	"HZ22"	"Rothia.mucilaginosa"	2	2	2	0	0	345903	36350539	339336	35907857
"320"	"HZ22"	"Schaalia.odontolytica"	1	1	1	0	0	127394	4623783	120806	4400672
"323"	"HZ22"	"Veillonella.dispar"	1	0	0	1	0	780	813822	506	241587
"324"	"HZ22"	"Veillonella.parvula"	5	2	2	1	0	12491	1719100	9023	669178
"327"	"HZ36"	"Haemophilus.parainfluenzae"	1	0	0	1	0	128336	382688	110054	325611
"331"	"HZ36"	"Rothia.mucilaginosa"	1	1	1	0	0	9451057	4252484	9170621	4064000
"333"	"HZ36"	"Streptococcus.oralis"	1	1	1	0	0	1271048	3690064	240851	722775
"334"	"HZ36"	"Veillonella.atypica"	2	0	0	1	0	20699	1917571	16854	1393790
"335"	"HZ36"	"Veillonella.dispar"	2	2	2	0	0	36901	725444	21031	379995
"336"	"HZ36"	"Veillonella.parvula"	3	3	3	0	0	685877	728240	543641	465005
"339"	"HZ37"	"Haemophilus.parainfluenzae"	1	0	0	1	0	1195	316404	1062	279051
"341"	"HZ37"	"Prevotella.melaninogenica"	1	0	0	1	0	673	49616	433	45099
"343"	"HZ37"	"Rothia.mucilaginosa"	1	1	1	0	0	71647	1415791	70480	1389683
"344"	"HZ37"	"Schaalia.odontolytica"	1	0	0	1	0	2516	605624	2254	577096
"348"	"HZ37"	"Veillonella.parvula"	1	0	0	1	0	2129	162134	1604	136141
"353"	"LG11"	"Prevotella.melaninogenica"	1	0	0	1	0	1173	208781	882	172850
"355"	"LG11"	"Rothia.mucilaginosa"	1	1	1	0	0	3944	2482043	3853	2430039
"356"	"LG11"	"Schaalia.odontolytica"	1	0	0	1	0	2916	580720	2636	531617
"358"	"LG11"	"Veillonella.atypica"	1	0	0	1	0	197	51967	96	33467
"359"	"LG11"	"Veillonella.dispar"	2	2	2	0	0	1188	171790	388	76090
"360"	"LG11"	"Veillonella.parvula"	3	0	0	1	0	1067	549335	415	302753
"368"	"LG01"	"Schaalia.odontolytica"	2	1	1	1	0	139293	2482825	108604	2300101
"370"	"LG01"	"Veillonella.atypica"	2	2	2	0	0	2507	457344	2100	371319
"371"	"LG01"	"Veillonella.dispar"	2	2	2	0	0	518	38040	363	24330
"372"	"LG01"	"Veillonella.parvula"	3	5	3	0	1	15213	665401	11231	496401
"380"	"LG29"	"Schaalia.odontolytica"	0	1	0	0	1	419412	71821	302387	64068
"384"	"LG29"	"Veillonella.parvula"	5	1	1	1	0	84476	1099760	67343	940889
"387"	"HZ32"	"Haemophilus.parainfluenzae"	4	0	0	1	0	398	475238	329	384306
"389"	"HZ32"	"Prevotella.melaninogenica"	4	0	0	1	0	88	5521836	142	4375523
"390"	"HZ32"	"Prevotella.nigrescens"	4	0	0	1	0	23	1854432	80	975138
"391"	"HZ32"	"Rothia.mucilaginosa"	2	0	0	1	0	578	4003847	553	3044301
"392"	"HZ32"	"Schaalia.odontolytica"	3	0	0	1	0	680	16800300	654	12864883
"396"	"HZ32"	"Veillonella.parvula"	5	0	0	1	0	691	798676	555	414600
"406"	"HZ35"	"Veillonella.atypica"	2	0	0	1	0	476	110181	357	97735
"408"	"HZ35"	"Veillonella.parvula"	5	0	0	1	0	4828	1360741	3644	1144950
