"subject"	"species"	"sample_type"	"Freq"
"807"	"LG15"	"Veillonella.parvula"	"OP"	3
"808"	"LG16"	"Veillonella.parvula"	"OP"	2
"809"	"LG17"	"Veillonella.parvula"	"OP"	2
"810"	"LG19"	"Veillonella.parvula"	"OP"	5
"811"	"LG24"	"Veillonella.parvula"	"OP"	3
"812"	"LG25"	"Veillonella.parvula"	"OP"	5
"813"	"LG26"	"Veillonella.parvula"	"OP"	1
"814"	"LG27"	"Veillonella.parvula"	"OP"	1
"815"	"LG28"	"Veillonella.parvula"	"OP"	1
"816"	"LG29"	"Veillonella.parvula"	"OP"	5
